ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;N],mean[1;T],stderr[1;S],stderr[1;N],stderr[1;T],T/F,dof,p,p-fdr
1,370,37,1.000000,0.228312,0.140835,-0.061714,0.210514,0.097880,0.261103,NaN,0.000000,NaN,NaN
2,743,74,1.000000,0.107822,0.057884,0.052517,0.094793,0.208789,0.231016,NaN,0.000000,NaN,NaN
3,462,46,1.000000,0.402074,0.126404,0.085086,0.354847,0.134050,0.204096,NaN,0.000000,NaN,NaN
4,1627,162,1.000000,0.959806,0.098178,-0.191617,0.112932,0.040183,0.055186,NaN,0.000000,NaN,NaN
5,2948,294,1.000000,1.118865,0.229879,-0.158341,0.772466,0.283595,0.162509,NaN,0.000000,NaN,NaN
6,644,64,1.000000,0.360674,-0.962362,-0.562538,0.862669,0.301926,0.305888,NaN,0.000000,NaN,NaN
7,370,37,1.000000,-0.061493,0.034924,0.038765,0.063309,0.178542,0.247318,NaN,0.000000,NaN,NaN
8,743,74,1.000000,-0.175629,-0.079596,0.189964,0.169131,0.405027,0.139571,NaN,0.000000,NaN,NaN
9,462,46,1.000000,0.067770,0.248879,0.096042,0.250435,0.170702,0.130329,NaN,0.000000,NaN,NaN
10,1627,162,1.000000,0.836769,0.328064,-0.086152,0.205454,0.285942,0.139442,NaN,0.000000,NaN,NaN
11,2948,294,1.000000,0.612704,0.176615,0.039562,0.263469,0.186663,0.177441,NaN,0.000000,NaN,NaN
12,644,64,1.000000,-0.219307,-0.812319,-0.556749,0.325453,0.139210,0.185784,NaN,0.000000,NaN,NaN
